out_acc_num,totalriskyamount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international
4292001,494676,0.427,8.0,0.2648,0.6527,0.1645,0.0741
4292002,437823,0.8014,1.0,0.1898,0.1702,0.291,0.4942
4292003,651458,0.7416,8.0,0.8743,0.5396,0.749,0.645
4292004,392431,0.3335,3.0,0.2474,0.8901,0.2489,0.8283
4292005,325844,0.1434,1.0,0.375,0.9222,0.8775,0.7399
4292006,426151,0.4393,8.0,0.5823,0.0242,0.5659,0.9131
4292007,339426,0.5929,1.0,0.9951,0.4479,0.2434,0.1919
4292008,898662,0.7436,9.0,0.1953,0.3173,0.9911,0.4682
4292009,680124,0.2676,6.0,0.6981,0.0264,0.2235,0.1977
4292010,904491,0.5859,8.0,0.8209,0.1661,0.0942,0.4202
4292011,378083,0.7538,7.0,0.4416,0.2005,0.9977,0.01
4292012,415906,0.3037,5.0,0.3267,0.7345,0.2934,0.3469
4292013,676223,0.7781,1.0,0.4984,0.0631,0.596,0.208
4292014,561435,0.5187,7.0,0.7409,0.1094,0.7637,0.7096
4292015,574768,0.128,7.0,0.8506,0.6079,0.0502,0.7033
4292016,338885,0.8922,1.0,0.1012,0.3302,0.025,0.8304
4292017,488977,0.4584,6.0,0.051,0.6613,0.8367,0.9252
4292018,495750,0.8042,1.0,0.5035,0.1635,0.4232,0.0501
4292019,439913,0.3751,6.0,0.0632,0.5741,0.9619,0.5455
4292020,260640,0.254,6.0,0.4524,0.6512,0.3124,0.2219
4292021,419514,0.7701,8.0,0.9996,0.8239,0.3899,0.9647
4292022,523289,0.6251,2.0,0.681,0.813,0.2349,0.9535
4292023,439554,0.1119,9.0,0.1012,0.8601,0.0282,0.0615
4292024,555529,0.7325,8.0,0.2748,0.5862,0.2089,0.4724
4292025,441889,0.852,6.0,0.1482,0.3966,0.9351,0.8529
4292026,541259,0.5442,10.0,0.2501,0.0235,0.8205,0.9675
4292027,990556,0.8895,2.0,0.2526,0.8621,0.9136,0.581
4292028,238852,0.5161,2.0,0.2645,0.698,0.12,0.5329
4292029,652151,0.6766,10.0,0.9115,0.2668,0.9261,0.0634
4292030,288856,0.9453,1.0,0.3282,0.6588,0.5888,0.4097
4292031,600622,0.8677,2.0,0.834,0.5481,0.4705,0.8468
4292032,404940,0.7778,2.0,0.5459,0.1483,0.8091,0.1322
4292033,589916,0.9045,4.0,0.6379,0.033,0.8269,0.912
4292034,241584,0.0221,3.0,0.1753,0.7705,0.3584,0.3031
4292035,585705,0.2246,8.0,0.7257,0.3895,0.2041,0.5823
4292036,967205,0.1535,7.0,0.7137,0.6967,0.4186,0.8015
4292037,422977,0.9881,1.0,0.2886,0.3113,0.3705,0.8086
4292038,343098,0.9106,2.0,0.0836,0.2584,0.8395,0.0813
4292039,767408,0.5234,7.0,0.4467,0.931,0.8181,0.6033
4292040,747440,0.265,7.0,0.6552,0.0952,0.3618,0.6416
4292041,626823,0.5061,9.0,0.6804,0.0839,0.7341,0.2295
4292042,726850,0.5526,8.0,0.2306,0.9271,0.6629,0.1882
4292043,472257,0.4786,3.0,0.8468,0.663,0.7395,0.6694
4292044,485742,0.394,7.0,0.0666,0.7625,0.2046,0.2507
4292045,609261,0.306,10.0,0.089,0.0956,0.2714,0.2627
4292046,167642,0.488,8.0,0.1026,0.1819,0.1294,0.2657
4292047,604613,0.2382,10.0,0.6232,0.8106,0.6419,0.3472
4292048,804150,0.1065,7.0,0.9214,0.1558,0.1033,0.5379
4292049,501692,0.6349,5.0,0.0119,0.8983,0.7042,0.3566
4292050,694541,0.7993,7.0,0.327,0.7906,0.0346,0.5857
4292051,675674,0.028,9.0,0.5493,0.1037,0.5161,0.6046
4292052,640878,0.582,5.0,0.2987,0.8498,0.506,0.7917
4292053,463444,0.1719,2.0,0.2645,0.6988,0.3346,0.378
4292054,493994,0.3439,2.0,0.1702,0.7562,0.2548,0.9938
4292055,825440,0.7532,2.0,0.9972,0.2013,0.6105,0.2752
4292056,514181,0.0545,6.0,0.1003,0.1902,0.2947,0.9392
